"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M1003.558T1223.957","2525.8699","144753.656","157369.376","103945.046","122000","147201.719","92100","157000","137683.264","2150.9941","173934.925","7185.5128","108165.9555","127000","100683.004","141501.428","150990.355","143000"
"M415.326T1295.888","71958.1766","148196.442","159772.345","180245.778","122000","144091.106","181000","101000","124953.624","66840.9955","88474.092","90118.4999","160861.6963","98400","194067.8","92720.78","94998.275","79400"
"M653.413T1286.062","25271.1283","157173.717","167730.592","181515.971","167000","141001.252","160000","198000","151322.052","22145.2373","160333.854","27169.0832","148538.7358","149000","145942.111","181305.482","174786.799","169000"
"M1102.351T817.469","12334.977","50863.077","69708.58","78703.363","66300","59550.559","82800","38800","53149.746","13546.5985","42336.295","14036.0322","55500.4531","61400","54356.964","65042.586","76466.076","56800"
"M549.424T1473.203","92484.1327","106916.649","147552.381","277157.343","186000","156161.062","224000","267000","320723.932","96277.1994","291152.486","87631.5591","227203.6331","211000","216884.295","242720.256","170376.335","187000"
"M787.545T1575.098","35366.2348","55158.77","23378.149","97073.496","79900","78335.827","90500","83900","63978.407","23373.3521","108466.074","10677.7506","121841.6792","80400","87517.104","85098.074","89961.554","234000"
"M567.43T1421.35","168212.9707","71620.73","81850.383","88830.092","98100","68037.971","74500","120000","91435.257","35101.1883","124535.242","35505.7125","101591.0896","101000","93035.788","94654.253","98641.594","97200"
"M798.839T1023.188","1645.3419","10807.334","35321.432","70931.888","71200","28014.41","78900","63900","71667.855","4390.8707","119034.899","6205.1757","67887.5964","80800","52928.517","36850.514","49920.319","60600"
"M764.517T1325.086","66349.916","225187.785","260891.895","153436.609","141000","132726.69","189000","173000","180994.3","38676.9239","283217.163","69756.3985","215420.063","148000","160848.221","128335.262","145316.216","141000"
"M677.438T1339.916","10473.4191","99987.334","129116.181","295698.899","260000","160332.039","298000","242000","177280.703","4938.6162","180539.475","15242.5163","164956.9918","162000","278476.342","316712.483","191646.995","266000"
