"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Mock","Mock","Mock","Xanthomonas","Xanthomonas"
"M453.101T88.055"," 0.40174636","-0.24522685","-0.31080400"," 0.03826644"," 0.11601805"
"M1009.554T1308.282","-0.3144473","-0.2000056","-0.1985265"," 0.4461368"," 0.2668426"
"M483.178T941.182","-0.86990490","-0.26590758"," 0.03881891"," 0.45003841"," 0.64695516"
"M1057.411T880.24"," 0.12512770","-0.96920846","-0.03300722"," 0.24758494"," 0.62950304"
"M478.295T1238.56","-0.11420178","-0.04745376"," 0.14273900"," 0.37683928","-0.35792275"
"M469.208T948.545","-0.009234455","-0.715105482","-0.459763829"," 0.283196970"," 0.900906795"
"M632.993T321.252","-0.4357913","-0.3867169","-0.1388980"," 0.4126856"," 0.5487206"
"M1308.932T316.358","-0.2589525","-0.7451563"," 0.1042553"," 0.4435061"," 0.4563474"
"M771.369T883.552","-0.02947774","-0.06056338"," 0.36715931","-0.48420413"," 0.20708595"
"M673.289T892.945","-0.39754818","-0.58068813"," 0.03325195"," 0.36655042"," 0.57843394"
"M833.365T968.818","-0.3443544","-0.9270137"," 0.1863541"," 0.3036918"," 0.7813221"
"M893.38T934.735"," 0.16385557","-1.17512993"," 0.07510231"," 0.46796866"," 0.46820339"
"M393.176T847.594","-0.36498238","-0.53629417","-0.04962213"," 0.24068198"," 0.71021670"
"M653.935T315.929","-0.295990718","-0.551210145","-0.008437955"," 0.420266033"," 0.435372786"
"M865.491T1326.551","-0.296601408","-0.353327441","-0.002000279"," 0.225873782"," 0.426055346"
