"","QC.1","QC.2","QC.3","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M988.382T919.58"," 0.21796191","-0.14579517"," 0.20639237","-1.34549863","-0.15582001"," 0.44498745"," 0.03642239","-0.05857968"," 0.75192436","-0.09633500"," 0.18804598"," 0.21257488","-0.10533467"," 0.09086056","-0.24180672"
"M556.199T909.479","-0.246915082","-0.276746045","-0.005485164","-0.916761493","-0.033980007"," 0.295390748"," 0.127559192","-0.119511630"," 0.541174776"," 0.002065135"," 0.396512496"," 0.326115341","-0.155512248"," 0.022100546"," 0.043993434"
"M861.497T1170","-0.23959609","-0.34520739"," 0.05996023"," 0.77880600"," 0.47588358","-0.46830087","-0.13128967"," 0.21941164","-0.04393060","-0.30838091","-0.34513903"," 0.36032837","-0.30026874","-0.11775468"," 0.40547817"
"M1006.55T1130.872","-0.182188047","-0.036063198","-0.295543294"," 0.263191767"," 0.505326120"," 0.016812664","-0.324339778"," 0.441768384","-0.271751607","-0.396087942","-0.072554975"," 0.500212091","-0.260309525","-0.003874444"," 0.115401784"
"M875.328T942.609"," 0.03626870","-0.09964863","-0.07125209","-1.06084108","-0.13941327"," 0.58390112"," 0.01862834","-0.01898784"," 0.30555632","-0.18547710"," 0.59895968","-0.00656076","-0.04342748","-0.02448125"," 0.10677536"
"M520.268T1356.47"," 0.13691182"," 0.29698249"," 0.28858869","-0.13601460","-0.45416357"," 0.01064879"," 0.04426227"," 0.54144868"," 0.10626228","-0.15397948","-0.28660777"," 0.03203569","-0.32626814"," 0.20075280","-0.30085996"
"M883.336T936.403","-0.003728359","-0.393068020"," 0.023748613","-0.724381004","-0.227734222"," 0.316886907","-0.018329491","-0.111196287"," 0.465979110","-0.128731363"," 0.260643091"," 0.316600575"," 0.091104208","-0.020114628"," 0.152320869"
"M993.57T1306.532","-0.39682714","-0.09009318","-0.39047475"," 0.11036623"," 0.26818451","-0.34932678"," 0.26018710"," 0.18777732","-0.22560751","-0.25323826","-0.43424096"," 0.54783541","-0.01495727"," 0.24603510"," 0.53438015"
"M575.481T1540.694","-0.1358943","-0.3660433","-0.1768407","-0.6256589","-0.4363460"," 0.1725839"," 0.1762685"," 0.2115847","-0.1509969"," 0.2933395"," 0.2689498"," 0.3970717"," 0.4368558","-0.2058993"," 0.1410255"
"M1103.343T817.469","-0.05062452"," 0.20363417","-0.38198719","-0.70011496"," 0.26256597"," 0.40129883"," 0.30256790","-0.04498652"," 0.38773133","-0.31171855","-0.20222881","-0.50329873"," 0.19711418"," 0.30568057"," 0.13436632"
"M673.286T985.123"," 0.065545064","-0.153832817","-0.008781134","-0.413886763","-0.113718736"," 0.499436435"," 0.621465896"," 0.153992912"," 0.503650009","-0.598137360"," 0.033763441"," 0.012795913","-0.671118240"," 0.201890605","-0.133065224"
