"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas"
"M281.07T709.104","-0.62532818","-0.33779148","-0.37436537","-0.27820874","-0.11581402","-0.08185481"," 0.24310535"," 1.05851436"," 0.61691712"," 0.58789637","-0.44975374","-0.24331687"
"M577.137T781.037","-0.11291241","-0.02513528","-0.63529972","-0.41582476","-0.33396915","-0.34413567"," 0.62000330"," 1.53175310"," 0.22135573"," 0.80607908","-0.80378353","-0.50813069"
"M397.075T138.684","-0.575216658","-0.710716975","-0.240450872","-0.216049400","-0.005930194","-0.276763484"," 0.335088566"," 1.220003382"," 0.201046798"," 0.433829319","-0.262647551"," 0.097807070"
"M653.861T317.501","-0.38889386","-0.57113052","-0.24084755","-0.69903589","-0.21151131","-0.38041097"," 0.53095013"," 0.96364302"," 0.60235226"," 0.25133760","-0.03292081"," 0.17646790"
"M375.104T216.821","-0.65935356","-0.71969559","-0.24603678","-0.28277984","-0.07572597","-0.57354935"," 0.38350384"," 1.18490458"," 0.57064422"," 0.17920818","-0.04742124"," 0.28630152"
"M384.097T310.658","-0.55785992","-0.53093465","-0.34897178","-0.09610546","-0.05106686","-0.38608671"," 0.38165952"," 1.12290013"," 0.61588976"," 0.05572015","-0.31073488"," 0.10559071"
"M351.085T316.423","-0.51218443","-0.60182860","-0.39624594","-0.08343814","-0.09090747","-0.55358156"," 0.33028415"," 1.07843741"," 0.54319199"," 0.21267102","-0.03113592"," 0.10473748"
"M460.969T105.772","-0.74633932","-0.40021591","-0.59731820","-0.05464275","-0.07951147","-0.42589153"," 0.42598686"," 1.28088185"," 0.40786981"," 0.03730523","-0.05724193"," 0.20911736"
"M665.267T889.419","-0.5272702","-0.5233298","-0.1898033","-0.3573971","-0.3345237","-0.8650855"," 0.5156062"," 1.1218621"," 0.6197692"," 0.4150382","-0.1843624"," 0.3094964"
"M969.939T315.438","-0.22040263","-0.49623967","-0.97826346","-0.36261144","-0.36188201","-0.34151058"," 0.46846839"," 0.54905937"," 0.66687450"," 0.67715450"," 0.34041636"," 0.05893667"
"M289.065T88.687","-1.01269472","-0.43492629","-0.09704499","-0.21291850","-0.19039030","-0.35281608"," 0.01798406"," 1.07502918"," 0.33675310"," 0.40875445"," 0.17500799"," 0.28726210"
"M289.086T1163.856","-0.41135474","-0.71438767"," 0.02490739","-0.31325051","-0.10189629","-0.89035762"," 0.26162710"," 1.10803428"," 0.71270791"," 0.31527978","-0.05638194"," 0.06507231"
"M655.873T943.419","-0.41271810","-0.36580784","-0.40232107","-0.13056697","-0.03409186","-0.95224455"," 0.26660070"," 1.42071491"," 0.45658476"," 0.30850918","-0.17303703"," 0.01837787"
"M642.242T817.768","-0.4036748","-0.8434822","-0.5231030","-0.3003136","-0.5439430"," 0.3263821"," 0.7526810"," 0.7219280"," 0.4220707"," 0.3512809"," 0.1598814","-0.1197075"
"M695.12T755.765","-0.30280385"," 0.18423032","-0.01346559","-0.33399484","-0.84209638","-0.07804840"," 0.63478280"," 1.32792494"," 0.50093913"," 0.53200553","-1.69493657"," 0.08546292"
"M487.016T806.181","-0.10682437","-0.63596561","-0.23902961","-0.07311003","-1.02231109","-0.39430089"," 0.61174202"," 1.18361136"," 0.44022413"," 0.34152544","-0.26464081"," 0.15907946"
"M967.561T1349.704","-0.564864106","-0.699199016","-0.317479598","-0.129450305"," 0.003397528","-0.540993790"," 0.337982819"," 1.209244200"," 0.438366914"," 0.138843757"," 0.161498021","-0.037346425"
"M821.606T900.199","-0.71174814","-0.98972012","-0.63703478","-0.48132097","-0.20522276"," 0.01002210"," 0.51395884"," 1.19187603"," 0.59403402"," 0.54416096"," 0.08036451"," 0.09063032"
"M1095.063T894.34","-0.2091744"," 0.0756844","-0.1308938","-0.4507546","-0.4969644","-0.4844150"," 0.5789645"," 1.4540663"," 0.5576170"," 0.3665207","-0.7581316","-0.5025190"
"M279.139T1150.344","-1.002329982","-1.003743780","-1.021830105","-0.829578459","-0.007484869","-0.252082454"," 1.010883859"," 1.906510709"," 1.308770398"," 0.442574303"," 0.228152940","-0.779842561"
