DroVsCon,FocVsCon,XvmVsCon
,M377.162T1630.7,
,M1223.501T894.767,
,M399.065T319.722,
,M286.972T107.919,
,M439.009T107.459,
,M338.938T105.668,
,M637.025T106.841,
,M833.365T968.818,
,M863.373T951.624,
,M715.392T322.783,
,M1009.607T1323.757,
,M486.878T66.684,
,M341.088T304.64,
,M292.14T116.338,
,M405.167T106.416,
,M728.269T963.544,
,M613.983T886.617,
,M697.905T994.286,
,M267.196T1364.412,
,M1042.422T909.151,
,M521.022T764.729,
,M260.967T89.826,
,M621.221T884.304,
,M203.083T418.775,
,M204.975T113.721,
,M311.138T170.155,
,M494.233T920.795,
,M274.971T109.977,
,M941.508T1318.851,
,M611.147T106.977,
,M593.763T756.056,
,M454.975T107.571,
,M957.374T926.518,
,M655.873T943.419,
,M661.226T856.483,
,M610.849T834.902,
,M557.187T899.436,
,M943.39T965.159,
,M572.874T67.143,
,M333.062T883.084,
,M401.18T764.21,
,M1039.403T917.165,
,M478.295T1238.56,
,M885.822T66.912,
,M1036.399T977.849,
,M299.259T1433.689,
,M531.078T845.355,
,M596.277T932.512,
,M1125.418T877.844,
,M569.181T807.905,
,M505.902T66.721,
,M494.168T786.301,
,M479.19T902.518,
,M851.794T1356.146,
,M418.218T902.438,
,M315.108T761.986,
,M695.12T755.765,
,M579.151T798.32,
,M429.121T110.997,
,M413.091T89.817,
,M693.424T1336.51,
,M433.784T801.352,
,M590.015T907.684,
,M969.4T973.77,
,M349.072T1165.294,
,M999.727T1404.686,
,M697.753T1005.082,
,M593.709T851.665,
,M279.164T1571.945,
,M379.565T877.71,
,M311.065T863.883,
,M1209.581T888.373,
,M469.019T418.674,
,M553.164T782.325,
,M1094.293T897.844,
,M701.418T1268.098,
,M579.301T894.416,
,M806.159T933.966,
,M339.058T415.891,
,M625.024T106.841,
,M909.388T926.435,
,M355.067T660.488,
,M695.289T1193.403,
,M401.027T415.826,
,M824.816T67.434,
,M293.179T1541.097,
,M260.048T118.657,
,M405.08T802.267,
,M427.009T107.872,
,M611.22T783.374,
,M477.088T1628.76,
,M1043.424T909.662,
,M182.994T112.283,
,M653.717T312.26,
,M431.759T791.911,
,M463.182T861.112,
,M911.268T936.747,
,M322.871T96.154,
,M203.204T105.674,
,M465.105T746.988,
,M1462.52T939.973,
,M292.991T104.104,
,M441.162T763.637,
,M418.974T1483.997,
,M1193.356T907.422,
,M942.469T1308.469,
,M937.515T1306.76,
,M1009.386T967.414,
,M305.082T1122.457,
,M417.764T850.924,
,M726.808T67.734,
,M443.058T752.856,
,M886.794T67.143,
,M1009.554T1308.282,
,M625.178T776.712,
,M573.017T749.518,
,M321.216T1624.59,
,M921.12T945.55,
,M1263.489T907.902,
,M353.052T831.694,
,M1229.54T895.369,
,M209.961T64.78,
,M359.022T90.408,
,M577.137T781.037,
,M429.486T320.767,
,M773.211T817.036,
,M313.119T883.187,
,M575.926T1053.198,
,M1162.845T896.125,
,M1327.552T905.478,
,M427.197T838.449,
,M1096.195T893.605,
,M1103.415T879.391,
,M505.3T1291.082,
,M1030.586T1195.906,
,M1354.628T902.5,
,M241.033T103.182,
,M367.102T765.544,
,M415.27T1182.702,
,M432.997T107.064,
,M591.2T844.598,
,M429.419T313.767,
,M1014.89T1344.191,
,M397.002T110.368,
,M684.191T618.708,
,M1162.051T893.06,
,M549.258T834.983,
,M576.128T818.314,
,M289.065T88.687,
,M901.161T984.095,
,M431.769T791.594,
,M743.85T66.912,
,M757.441T1176.453,
,M453.035T765.753,
,M502.995T105.736,
,M311.104T1075.82,
,M728.286T863.521,
,M723.577T942.094,
,M545.846T78.22,
,M435.959T107.38,
,M1095.063T894.34,
,M565.054T1199.484,
,M865.491T1326.551,
,M865.489T1291.829,
,M569.273T895.199,
,M385.077T649.201,
,M289.026T88.643,
,M1100.582T1225.322,
,M371.133T805.134,
,M564.68T1183.74,
,M501.375T66.858,
,M657.169T756.884,
,M684.885T67.374,
,M714.826T66.684,
,M760.823T66.885,
,M707.828T66.684,
,M419.228T901.259,
,M391.065T766.545,
,M389.182T799.355,
,M969.698T320.725,
,M357.49T758.525,
,M459.052T765.953,
,M333.191T983.058,
,M280.961T95.439,
,M775.809T66.684,
,M1395.396T991.455,
,M643.039T106.784,
,M415.225T881.978,
,M1093.54T895.081,
,M1161.526T895.081,
,M272.959T67.281,
,M285.243T1390.408,
,M448.965T106.062,
,M653.828T318.352,
,M403.064T798.991,
,M645.124T781.203,
,M693.17T791.92,
,M633.494T312.856,
,M560.841T1187.938,
,M453.101T88.055,
,M569.775T895.343,
,M589.773T907.878,
,M1096.548T894.929,
,M569.35T895.921,
,M317.064T416.942,
