"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"M1169.27T13.55","12818.827"," 9416.605"," 9416.605","14473.290","14666.410","13169.725","14862.454","14151.047","13431.844","13058.565","16491.837","15011.916","13645.581","14783.546","12007.908","13602.070","13202.643","14564.667","11965.997"
"M1169.5T13.55"," 9285.388"," 9975.793"," 9975.793","13315.828","15613.147","13887.954","11150.444","11513.164","10330.181"," 8670.849"," 9522.932","11195.259","10144.972"," 9424.713"," 8551.238","10020.458"," 8748.279","10693.622"," 9427.169"
"M1169.77T16.56","11885.66","17916.13","17916.13","18274.66","18031.91","30872.80","16560.45","19888.19","21459.74","17327.52","19761.11","16287.40","19544.79","12238.74","17470.42","16478.78","27082.56","17956.13","28748.79"
"M1170.09T14.07"," 9744.855","14911.460","14911.460"," 9526.494","12430.149"," 8568.834"," 9494.596","11362.100"," 9910.459"," 6336.432"," 7254.496","11280.336"," 6890.610"," 6028.030","10040.963"," 9547.281"," 9588.762","10932.724"," 4693.237"
"M1170.77T16.68","17119.43","25188.82","25188.82","24007.81","32818.72","51124.89","21526.51","32915.78","31623.83","28023.89","31482.16","28317.83","30777.86","21997.66","19693.62","28001.18","23891.46","30340.44","29150.02"
"M1171.43T17.56"," 4553.904"," 8848.625"," 8848.625"," 6539.560"," 6735.323"," 7891.856"," 4564.130"," 8480.160"," 7910.832","10874.345"," 6465.338"," 6904.702"," 8959.829"," 5583.112"," 5565.109"," 6992.619"," 6747.000"," 9527.143","12489.631"
"M1171.77T12.55","10350.937","12333.961","12333.961","10728.088","13410.110"," 8751.908"," 9417.494"," 8548.066","10979.039"," 8325.005"," 9863.208"," 9704.707"," 9546.451","10301.689"," 7197.080"," 9835.543","10692.062"," 8601.728"," 9044.241"
"M1172.77T13.55","31042.81","36544.00","36544.00","36252.43","39490.55","39939.14","34565.39","36921.37","39778.98","35880.45","23347.83","40091.04","39845.58","35030.44","29447.87","34030.86","38605.98","36845.55","33949.41"
"M1173.44T13.55","47146.18","41945.67","41945.67","53849.06","53816.10","53222.13","49903.26","55240.23","31274.72","47366.26","49333.75","52137.81","53934.44","47261.96","41730.69","47608.09","52249.08","30926.25","48045.37"
"M1174.45T13.55","12154.25","16535.97","16535.97","12956.75","14828.05","12486.34","14562.25","13633.27","14264.08","11959.83","13449.77","12983.29","14449.58","13782.49","11521.82","14758.81","10138.65","14770.83","13093.74"
"M1175.76T17.47"," 7411.990","10958.368","10958.368","12848.430"," 9843.485","10832.263","10080.150","10290.736","13492.592","12098.163","12794.268","11225.859","12364.885"," 9341.940"," 8201.683"," 8638.637","20617.805","11331.640","13446.446"
"M1176.77T17.56","11414.84","15767.31","15767.31","13516.43","17766.19","14227.28","13823.35","31008.18","13593.36","18091.83","19000.83","16521.57","18447.06","15444.00","14152.60","26192.87","13449.85","14873.53","13707.73"
"M1177.1T13.54"," 7629.309","11421.129","11421.129"," 7793.310"," 7822.003"," 7280.009"," 7884.258"," 6938.754"," 5135.360"," 7945.645"," 6922.411"," 8350.486"," 8972.781","10236.768"," 5816.806"," 5962.442"," 6837.318"," 7252.757"," 6966.968"
"M1177.44T13.55","12182.440","14650.363","14650.363","13059.060"," 8926.700","15095.293","13418.098","14022.084"," 8794.304","12833.364","14305.945","14481.928","14407.262","13844.302","13008.705","13654.931","15475.647","13575.442","13106.946"
"M1180.76T17.56","13700.84","18040.97","18040.97","24156.25","22381.23","38618.28","16585.61","15935.59","19057.00","22586.58","24589.55","24740.00","22245.16","13670.10","30436.01","17205.19","21526.39","20887.98","27301.54"
