"","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M373.167T930.605","10220.2368","4609.7268","433.1555","13358.158","3821.16","2535.5787","4314.5078","4494.631","2165.7775","3555.6323","2780.2859","433.1555","4213.6167","3180.0833","2842.0352","433.1555","5848.4742","3196.3058"
"M365.143T832.741","35986.9751","7645.112","45.72114","22624.2275","6677.9793","8289.1727","60204.8535","39691.4962","5572.3446","2717.168","4338.4365","228.6057","10483.5454","96110.3265","84610.6287","45.72114","1284.0674","5236.0169"
"M555.17T790.902","8236.709","7697.583","55.31724","11014.6979","4577.8701","7106.2582","7228.1727","9571.7832","6260.0725","5410.8176","5615.9205","276.5862","7278.9309","6864.8849","5394.4295","55.31724","8400.814","8781.9389"
"M408.822T1801.685","7072.0128","11312.5959","2768.47439","11498.9958","8548.0754","9090.1759","11201.0026","9277.6146","7699.3181","6376.1584","8437.8164","8167.9184","9182.5838","11915.8503","5820.2931","7230","8609.7554","5935.9569"
"M1084.663T1198.774","744.4908","373.9464","28.50952","1085.9492","187.6941","257.8464","320.4869","487.7338","142.5476","557.9666","547.3472","28.50952","416.9507","344.6159","755.6761","28.50952","28.50952","28.50952"
"M454.144T914.383","6963.617","13250.3967","261.4834","3062.1735","10873.5008","6449.5149","14450.4854","5929.3899","4007.3024","1307.417","5375.9967","261.4834","7779.368","6663.9488","5799.6545","261.4834","3470.1498","8343.0616"
"M886.794T67.143","399.5613","665.276","56.35904","1712.5904","2109.9386","8908.5925","9433.0866","6010.5635","2130.23","760.1537","4397.1928","738.5388","1198.6955","1546.1462","1840.2961","56.35904","281.7952","4663.9775"
"M526.316T1188.04","7101.3982","1777.9121","58.98412","6466.4725","6806.2714","2133.6328","14713.7095","8311.2331","8092.7383","9284.088","13273.4314","294.9206","15153.076","8526.0825","9124.1822","58.98412","6634.2673","6969.536"
"M631.877T67.938","3293.6707","1553.5512","456.32855","6390.7952","9336.089","5608.9165","20519.5004","32784.2177","14589.9088","2115.1622","10571.6108","1192.3762","4352.9264","1994.1409","5540.7801","223","2202.0744","9600.614"
"M1192.357T906.767","7992.2398","3033.4764","427.08889","11133.5054","7047.1344","4029.386","8220.9732","16514.5463","7375.7011","7500.5337","13085.1797","85.417778","9274.8616","9230.463","10318.1882","85.417778","4635.7269","4887.6667"
"M1009.386T967.414","17996.6372","6471.5843","189.27166","17093.8796","12176.6357","6263.1898","9241.3564","5108.2535","3444.1271","946.3583","10443.6719","189.27166","4982.6039","8810.9525","11326.9388","189.27166","9389.3356","5896.9684"
